[2024-11-20 19:16:02] Open: 94302.48, High: 94343.43, Low: 94302.48, Close: 94343.43
[2024-11-20 19:17:02] Open: 94377.07, High: 94377.19, Low: 94186.49, Close: 94193.66
[2024-11-20 19:18:01] Open: 94178.78, High: 94243.31, Low: 94123.91, Close: 94126.44
[2024-11-20 19:19:01] Open: 94073.41, High: 94266.87, Low: 94073.41, Close: 94198.47
[2024-11-20 19:20:00] Open: 94249.78, High: 94372.72, Low: 94249.78, Close: 94372.72
[2024-11-20 19:21:04] Open: 94380.60, High: 94394.59, Low: 94215.54, Close: 94215.54
[2024-11-20 19:22:03] Open: 94191.29, High: 94191.29, Low: 94069.87, Close: 94100.24
[2024-11-20 19:23:04] Open: 94102.34, High: 94124.85, Low: 93976.95, Close: 94032.85
[2024-11-20 19:24:03] Open: 94076.21, High: 94118.50, Low: 94003.13, Close: 94033.56
[2024-11-20 19:25:02] Open: 94060.13, High: 94060.13, Low: 93873.05, Close: 93885.45
[2024-11-20 19:26:01] Open: 93896.90, High: 94023.88, Low: 93870.95, Close: 93980.68
[2024-11-20 19:27:00] Open: 94008.94, High: 94012.32, Low: 93923.98, Close: 93969.80
[2024-11-20 19:28:04] Open: 93981.70, High: 93993.48, Low: 93812.47, Close: 93812.47
[2024-11-20 19:29:03] Open: 93696.88, High: 93783.88, Low: 93656.00, Close: 93707.81
[2024-11-20 19:30:02] Open: 93765.60, High: 93765.60, Low: 93644.77, Close: 93663.00
[2024-11-20 19:31:01] Open: 93707.08, High: 93722.20, Low: 93486.53, Close: 93492.89
[2024-11-20 19:32:00] Open: 93447.70, High: 93642.47, Low: 93418.01, Close: 93599.21
[2024-11-20 19:33:04] Open: 93580.19, High: 93823.98, Low: 93580.19, Close: 93823.98
[2024-11-20 19:34:00] Open: 93833.39, High: 93884.08, Low: 93749.14, Close: 93749.47
[2024-11-20 19:35:04] Open: 93720.00, High: 93843.92, Low: 93720.00, Close: 93843.65
[2024-11-20 19:36:02] Open: 93826.28, High: 93964.29, Low: 93826.28, Close: 93910.80
[2024-11-20 19:37:01] Open: 93817.32, High: 93817.32, Low: 93617.18, Close: 93627.75
[2024-11-20 19:38:00] Open: 93586.34, High: 93648.49, Low: 93575.77, Close: 93642.04
[2024-11-20 19:39:04] Open: 93662.20, High: 93726.76, Low: 93604.54, Close: 93628.03
[2024-11-20 19:40:03] Open: 93652.03, High: 93842.69, Low: 93652.03, Close: 93802.56
[2024-11-20 19:41:01] Open: 93842.69, High: 93842.69, Low: 93788.18, Close: 93792.00
[2024-11-20 19:42:00] Open: 93740.28, High: 93823.00, Low: 93719.49, Close: 93823.00
[2024-11-20 19:43:04] Open: 93788.18, High: 93810.46, Low: 93580.93, Close: 93580.93
[2024-11-20 19:44:04] Open: 93561.88, High: 93699.27, Low: 93561.88, Close: 93650.00
[2024-11-20 19:45:03] Open: 93652.53, High: 93728.30, Low: 93637.88, Close: 93701.28
[2024-11-20 19:46:02] Open: 93679.80, High: 93682.09, Low: 93646.78, Close: 93666.53
[2024-11-20 19:47:00] Open: 93719.50, High: 93740.15, Low: 93585.84, Close: 93662.39
[2024-11-20 19:48:04] Open: 93724.57, High: 93863.99, Low: 93724.57, Close: 93837.53
[2024-11-20 19:49:03] Open: 93812.27, High: 93833.49, Low: 93755.30, Close: 93755.30
[2024-11-20 19:50:03] Open: 93783.30, High: 93807.01, Low: 93713.83, Close: 93740.39
[2024-11-20 19:51:01] Open: 93719.72, High: 93855.48, Low: 93719.72, Close: 93777.82
[2024-11-20 19:52:00] Open: 93792.03, High: 93866.36, Low: 93758.47, Close: 93866.36
[2024-11-20 19:53:04] Open: 93876.31, High: 93986.63, Low: 93876.31, Close: 93971.12
[2024-11-20 19:54:04] Open: 93947.04, High: 94059.33, Low: 93947.04, Close: 94059.33
[2024-11-20 19:55:02] Open: 94100.00, High: 94170.57, Low: 94100.00, Close: 94122.43
[2024-11-20 19:56:01] Open: 94159.79, High: 94159.79, Low: 94061.26, Close: 94080.10
[2024-11-20 19:57:04] Open: 94080.28, High: 94149.22, Low: 94080.28, Close: 94149.22
[2024-11-20 19:58:03] Open: 94115.35, High: 94131.86, Low: 94076.24, Close: 94088.75
[2024-11-20 19:59:01] Open: 94095.26, High: 94216.64, Low: 94095.26, Close: 94216.64
[2024-11-20 20:00:05] Open: 94200.80, High: 94241.35, Low: 94166.36, Close: 94166.36
[2024-11-20 20:01:04] Open: 94186.12, High: 94377.58, Low: 94186.12, Close: 94374.63
[2024-11-20 20:02:03] Open: 94403.45, High: 94422.11, Low: 94323.87, Close: 94374.46
[2024-11-20 20:03:01] Open: 94354.46, High: 94357.15, Low: 94326.95, Close: 94327.63
[2024-11-20 20:04:00] Open: 94334.21, High: 94381.36, Low: 94278.49, Close: 94340.00
[2024-11-20 20:05:03] Open: 94344.58, High: 94458.39, Low: 94344.58, Close: 94434.66
[2024-11-20 20:06:02] Open: 94443.55, High: 94452.99, Low: 94413.96, Close: 94413.96
[2024-11-20 20:07:00] Open: 94338.14, High: 94390.73, Low: 94338.14, Close: 94367.61
[2024-11-20 20:08:00] Open: 94382.47, High: 94382.47, Low: 94227.53, Close: 94227.53
[2024-11-20 20:09:00] Open: 94206.47, High: 94250.02, Low: 94206.47, Close: 94222.03
[2024-11-20 20:10:04] Open: 94239.80, High: 94319.57, Low: 94229.22, Close: 94316.12
[2024-11-20 20:11:03] Open: 94282.02, High: 94390.86, Low: 94282.02, Close: 94368.89
[2024-11-20 20:12:03] Open: 94381.77, High: 94381.77, Low: 94255.75, Close: 94258.13
[2024-11-20 20:13:02] Open: 94204.84, High: 94205.39, Low: 93961.98, Close: 94012.71
[2024-11-20 20:14:00] Open: 94059.86, High: 94139.30, Low: 94059.86, Close: 94106.46
[2024-11-20 20:15:00] Open: 94112.80, High: 94112.80, Low: 94010.13, Close: 94096.56
[2024-11-20 20:16:03] Open: 94166.16, High: 94166.16, Low: 94162.05, Close: 94162.05
[2024-11-20 20:17:01] Open: 94204.42, High: 94214.58, Low: 94122.75, Close: 94136.49
[2024-11-20 20:18:00] Open: 94140.58, High: 94221.62, Low: 94138.72, Close: 94221.62
[2024-11-20 20:19:00] Open: 94241.68, High: 94241.68, Low: 94129.52, Close: 94129.52
[2024-11-20 20:20:03] Open: 94085.18, High: 94085.18, Low: 93921.82, Close: 93972.94
[2024-11-20 20:21:00] Open: 93848.10, High: 93852.01, Low: 93834.77, Close: 93852.01
[2024-11-20 20:22:03] Open: 93805.01, High: 93920.22, Low: 93772.26, Close: 93897.90
[2024-11-20 20:23:02] Open: 93876.98, High: 93913.92, Low: 93740.30, Close: 93740.30
[2024-11-20 20:24:00] Open: 93778.45, High: 93796.56, Low: 93711.08, Close: 93790.23
[2024-11-20 20:25:00] Open: 93789.78, High: 93832.02, Low: 93737.89, Close: 93737.89
[2024-11-20 20:26:04] Open: 93762.07, High: 93931.49, Low: 93762.07, Close: 93931.49
[2024-11-20 20:27:02] Open: 93907.83, High: 93990.47, Low: 93907.83, Close: 93978.34
[2024-11-20 20:28:01] Open: 93979.83, High: 94171.97, Low: 93979.83, Close: 94171.97
[2024-11-20 20:29:04] Open: 94147.64, High: 94150.54, Low: 94014.22, Close: 94019.19
[2024-11-20 20:30:03] Open: 94024.85, High: 94167.42, Low: 94024.85, Close: 94158.05
[2024-11-20 20:31:01] Open: 94148.02, High: 94243.48, Low: 94148.02, Close: 94172.93
[2024-11-20 20:32:00] Open: 94219.12, High: 94230.16, Low: 94078.76, Close: 94087.16
[2024-11-20 20:33:04] Open: 94088.57, High: 94127.28, Low: 94000.00, Close: 94000.00
[2024-11-20 20:34:03] Open: 93978.37, High: 93978.37, Low: 93902.84, Close: 93927.43
[2024-11-20 20:35:01] Open: 93935.48, High: 94014.39, Low: 93908.71, Close: 93961.91
[2024-11-20 20:36:05] Open: 93977.93, High: 94069.71, Low: 93977.93, Close: 94069.71
[2024-11-20 20:37:04] Open: 94088.05, High: 94094.00, Low: 93989.98, Close: 94031.88
[2024-11-20 20:38:04] Open: 94054.48, High: 94141.00, Low: 94054.48, Close: 94133.11
[2024-11-20 20:39:02] Open: 94135.66, High: 94220.18, Low: 94134.81, Close: 94185.89
[2024-11-20 20:40:01] Open: 94197.12, High: 94290.93, Low: 94197.12, Close: 94240.94
[2024-11-20 20:44:01] Open: 94218.82, High: 94272.57, Low: 94217.78, Close: 94237.67
[2024-11-20 20:45:00] Open: 94219.96, High: 94327.03, Low: 94213.42, Close: 94296.40
[2024-11-20 20:46:04] Open: 94319.33, High: 94378.98, Low: 94250.04, Close: 94296.24
[2024-11-20 20:47:02] Open: 94330.79, High: 94387.21, Low: 94327.32, Close: 94346.96
[2024-11-20 20:48:00] Open: 94370.19, High: 94370.19, Low: 94248.27, Close: 94262.94
[2024-11-20 20:49:00] Open: 94257.79, High: 94257.79, Low: 94183.96, Close: 94201.42
[2024-11-20 20:50:04] Open: 94228.38, High: 94279.66, Low: 94142.42, Close: 94278.44
[2024-11-20 20:51:03] Open: 94287.73, High: 94336.58, Low: 94261.62, Close: 94336.58
[2024-11-20 20:52:03] Open: 94341.05, High: 94397.82, Low: 94341.05, Close: 94364.49
[2024-11-20 20:53:02] Open: 94338.97, High: 94424.33, Low: 94297.31, Close: 94424.33
[2024-11-20 20:54:01] Open: 94378.79, High: 94389.61, Low: 94277.86, Close: 94330.38
[2024-11-20 20:55:04] Open: 94346.01, High: 94346.77, Low: 94258.99, Close: 94313.00
[2024-11-20 20:56:03] Open: 94300.52, High: 94360.50, Low: 94273.38, Close: 94348.08
[2024-11-20 20:57:02] Open: 94293.00, High: 94366.79, Low: 94293.00, Close: 94366.79
[2024-11-20 20:58:00] Open: 94360.87, High: 94417.31, Low: 94323.58, Close: 94323.58
[2024-11-20 20:59:04] Open: 94338.24, High: 94338.24, Low: 94224.45, Close: 94235.00
[2024-11-20 21:00:02] Open: 94200.01, High: 94201.03, Low: 94050.93, Close: 94050.93
[2024-11-20 21:01:02] Open: 94069.25, High: 94183.95, Low: 94061.98, Close: 94183.95
[2024-11-20 21:02:01] Open: 94191.42, High: 94191.42, Low: 93964.37, Close: 94015.58
[2024-11-20 21:03:05] Open: 94009.02, High: 94127.74, Low: 94005.17, Close: 94074.01
